iter	Passed	Remaining
1521	165357	160577
1522	165386	160391
1523	165401	160192
1524	165546	160118
1525	165556	159915
1526	165576	159721
1527	165647	159576
1528	165659	159375
1529	165811	159309
1530	165829	159113
1531	165996	159061
1532	166011	158864
1533	166034	158674
1534	166048	158476
1535	166076	158291
1536	166223	158220
1537	167709	159421
1538	167725	159224
1539	168358	159612
1540	169502	160482
1541	169581	160344
1542	169589	160137
1543	169600	159934
1544	170794	160845
1545	170806	160641
1546	170827	160447
1547	170838	160244
1548	170850	160041
1549	171010	159977
1550	171066	159816
1551	171078	159614
1552	171100	159421
1553	171174	159278
1554	171184	159075
1555	171345	159012
1556	172695	160050
1557	172707	159849
1558	172716	159643
1559	173965	160583
1560	173999	160400
1561	174039	160223
1562	174064	160032
1563	175271	160927
1564	175300	160739
1565	175326	160548
1566	175339	160345
1567	176501	161192
1568	176591	161059
1569	176608	160860
1570	176741	160766
1571	178077	161764
1572	179567	162900
1573	179585	162699
1574	179606	162501
1575	179621	162297
1576	179643	162100
1577	180706	162841
1578	181784	163594
1579	181802	163391
1580	183039	164284
1581	183061	164084
1582	183079	163880
1583	183102	163682
1584	183134	163492
1585	184353	164360
1586	184377	164162
1587	184523	164072
1588	184527	163856
1589	184541	163650
1590	184816	163674
1591	184838	163475
1592	186014	164295
1593	187205	165126
1594	187224	164922
1595	187242	164717
1596	187566	164781
1597	189133	165935
1598	189146	165724
1599	190600	166775
1600	190613	166563
1601	190746	166456
1602	190763	166249
1603	190839	166091
1604	191024	166030
1605	191029	165812
1606	192243	166643
1607	192249	166424
1608	192286	166234
1609	192373	166086
1610	192397	165884
1611	192412	165675
1612	192498	165527
1613	192516	165321
1614	192535	165115
1615	192546	164904
1616	194070	165985
1617	194226	165897
1618	194236	165682
1619	194250	165472
1620	194267	165265
1621	195655	166222
1622	197068	167198
1623	198331	168044
1624	198349	167834
1625	198392	167645
1626	198411	167436
1627	198430	167227
1628	199551	167946
1629	199587	167751
1630	199609	167545
1631	199807	167485
1632	201185	168414
1633	201260	168250
1634	201287	168047
1635	201316	167846
1636	201463	167742
1637	201507	167554
1638	201528	167346
1639	201550	167139
1640	202710	167875
1641	202720	167657
1642	202754	167460
1643	202763	167243
1644	202833	167075
1645	202841	166857
1646	202857	166645
1647	202881	166441
1648	202899	166232
1649	202915	166021
1650	202929	165809
1651	202936	165592
1652	203064	165473
1653	203088	165270
1654	203115	165069
1655	203154	164879
1656	203173	164672
1657	203303	164555
1658	203337	164361
1659	203362	164159
1660	203638	164161
1661	203649	163949
1662	203740	163800
1663	203758	163594
1664	205339	164641
1665	205357	164434
